# command: python projection_resampling_Abx.py multiTnSeq_Abx_3b_counts_TTR.txt Abx_3b_samples_metadata_all.txt H37Rv3.prot_table multiTnSeq_Abx_3b_varimax_loadings.txt michelles_list.txt
ORF	gene	numTAs	pretreatment	untreated_d21	INH_wk1	RIF_wk1	EMB_wk1	PZA_wk1	HRZE_wk1	untreated_wk2	INH_wk2	RIF_wk2	EMB_wk2	untreated_wk5	INH_wk5	EMB_wk5	V1_mean	V2_mean	V3_mean	V4_mean	V5_mean	V6_mean	V1_LFC	V2_LFC	V3_LFC	V4_LFC	V5_LFC	V6_LFC	V1_padj	V2_padj	V3_padj	V4_padj	V5_padj	V6_padj
Rv2378c	mbtG	9	0.4	0.4	0.0	0.4	7.5	0.5	0.1	0.1	0.0	0.1	9.9	0.0	0.0	6.1	0.1	0.5	0.5	0.3	7.9	4.7	-1.8	-1.2	-1.2	-1.4	1.3	0.7	0.357634	0.593554	0.568338	0.535031	0.01368	0.439714
Rv2379c	mbtF	64	0.4	0.2	1.5	0.4	6.5	0.1	0.5	0.4	0.3	1.1	10.5	0.0	1.4	3.9	0.8	0.6	0.5	0.8	7.6	3.6	-0.8	-1.0	-1.1	-0.8	1.4	0.5	0.502238	0.424552	0.355838	0.502238	0.0	0.440343
Rv2380c	mbtE	79	0.1	0.1	0.7	0.3	4.3	0.2	0.2	0.1	0.2	0.2	6.0	0.0	0.4	3.7	0.3	0.3	0.3	0.3	4.7	2.8	-1.0	-1.0	-1.0	-1.0	1.1	0.6	0.08892	0.063683	0.114	0.08773	0.0	0.028633
Rv2381c	mbtD	44	0.1	0.1	0.2	0.0	2.1	0.0	0.0	0.2	0.0	0.1	1.8	0.0	0.0	1.4	0.1	0.2	0.1	0.1	1.8	1.0	-0.6	-0.5	-0.6	-0.6	0.8	0.3	0.361432	0.440343	0.37257	0.355838	0.0	0.29834
Rv2382c	mbtC	17	0.0	0.0	0.4	0.1	0.9	0.0	0.3	0.1	0.2	0.2	2.2	0.0	0.0	1.6	0.2	0.1	0.2	0.2	1.4	1.2	-0.5	-0.6	-0.5	-0.5	0.5	0.4	0.664317	0.453253	0.612935	0.603529	0.073286	0.196278
Rv2383c	mbtB	51	0.3	0.3	1.9	0.2	5.7	0.2	0.2	0.1	0.5	0.4	8.7	0.1	0.2	5.3	0.7	0.4	0.4	0.3	6.5	4.1	-1.0	-1.2	-1.3	-1.3	1.1	0.6	0.0918	0.031226	0.030314	0.023677	0.0	0.007329
Rv2384	mbtA	21	0.4	0.1	1.2	0.3	5.4	0.2	0.1	0.3	0.5	0.1	7.8	0.0	0.0	3.7	0.5	0.4	0.3	0.3	5.9	3.1	-0.9	-1.0	-1.1	-1.1	1.3	0.6	0.2565	0.22522	0.1296	0.169431	0.0	0.163009
Rv2386c	mbtI	19	0.4	0.1	2.0	0.3	10.9	0.4	0.6	0.5	0.3	0.7	15.2	0.6	0.3	6.8	0.9	0.7	0.8	0.6	11.7	5.8	-1.2	-1.3	-1.2	-1.4	1.6	0.6	0.636476	0.582955	0.623392	0.453253	0.028633	0.675953
Rv2462c	tig	19	42.8	45.8	32.6	12.6	28.2	16.4	43.0	47.7	30.5	24.9	35.9	14.8	48.9	28.3	33.4	43.8	28.0	19.2	31.7	32.9	0.0	0.4	-0.2	-0.8	-0.1	-0.0	0.99	0.514716	0.970366	0.535031	1.0	0.992543
Rv2476c	gdh	64	30.2	20.1	18.2	20.9	20.1	131.9	75.4	18.0	18.8	44.8	16.5	21.4	29.9	5.3	22.9	22.8	94.9	31.9	19.9	15.7	-0.2	-0.3	1.8	0.2	-0.4	-0.8	0.440343	0.440343	0.0	0.949475	0.271588	0.114
Rv2563	-	10	41.3	21.4	0.7	3.7	5.4	42.5	27.3	24.2	1.6	13.0	5.6	55.0	10.3	2.8	14.9	26.5	35.5	8.6	6.9	12.5	-0.4	0.3	0.7	-1.2	-1.5	-0.7	0.935385	0.453253	0.08835	0.440343	0.412462	0.778748
Rv2564	glnQ	15	28.2	32.4	12.7	10.7	28.6	52.0	55.3	37.5	12.8	32.6	12.2	39.2	6.7	19.7	19.1	31.2	51.0	21.3	21.6	21.8	-0.5	0.2	0.9	-0.3	-0.3	-0.3	0.675953	0.970366	0.097338	0.824464	0.914411	0.838643
Rv2567	-	40	9.8	9.6	6.9	5.8	20.6	5.8	4.9	10.2	10.1	5.6	14.8	3.9	12.4	47.0	8.6	10.6	6.0	6.2	18.6	31.8	-0.7	-0.4	-1.2	-1.1	0.3	1.1	0.701139	0.914411	0.473538	0.502238	0.729698	0.031226
Rv2571c	-	9	133.2	92.0	95.9	114.4	95.2	535.2	391.9	69.6	71.0	164.8	97.3	92.1	71.4	50.7	89.9	96.4	421.8	136.4	101.8	87.4	-0.4	-0.3	1.8	0.2	-0.2	-0.4	0.745021	0.793591	0.01995	0.974878	0.772471	0.675953
Rv2605c	tesB2	9	36.2	36.1	15.7	16.6	35.0	30.2	0.7	24.5	32.7	15.0	17.9	25.7	24.9	31.6	24.3	31.6	17.8	16.3	27.1	29.4	-0.2	0.2	-0.6	-0.8	-0.1	0.1	1.0	0.762289	0.793591	0.675953	0.955053	0.824464
Rv2614A	-	7	44.3	17.3	26.8	23.6	51.4	2.9	26.3	17.7	25.8	32.1	34.3	27.2	18.3	39.4	24.3	26.1	16.0	27.8	41.3	38.5	-0.4	-0.3	-1.0	-0.2	0.3	0.2	0.970366	0.979364	0.535031	0.996117	0.729698	0.7344
Rv2684	arsA	20	38.8	48.3	71.1	58.6	82.1	99.8	82.1	39.2	37.9	59.9	116.1	33.9	74.6	327.0	54.5	49.3	87.9	61.1	107.7	218.0	-0.8	-1.0	-0.2	-0.7	0.1	1.1	0.494	0.440343	0.974762	0.549643	0.947077	0.007329
Rv2689c	-	23	79.3	164.1	123.9	165.4	107.2	213.4	107.9	107.6	100.2	112.1	135.5	116.9	155.2	212.2	121.1	122.5	159.0	140.1	127.1	167.2	-0.3	-0.3	0.1	-0.1	-0.2	0.2	0.864893	0.88276	0.895714	1.0	0.970366	0.7344
Rv2894c	xerC	13	4.4	7.7	0.3	9.7	6.7	9.7	5.1	1.3	4.1	3.9	4.0	0.1	1.0	14.3	1.7	4.5	7.0	6.8	5.8	10.1	-1.6	-0.5	0.0	-0.0	-0.2	0.5	0.636476	0.974878	0.974762	0.974878	1.0	0.701139
Rv2930	fadD26	40	123.9	132.4	124.1	164.1	230.2	221.5	249.8	126.3	70.8	317.2	158.8	177.6	455.9	181.1	191.9	148.4	227.6	237.0	194.0	176.2	-0.1	-0.5	0.1	0.2	-0.1	-0.3	0.992543	0.582955	0.755337	0.650634	0.997053	0.927289
Rv2931	ppsA	82	82.4	74.9	63.5	90.0	144.7	188.5	186.9	73.8	30.2	162.0	99.9	131.6	251.8	115.0	110.0	88.6	179.6	125.0	122.5	111.3	-0.2	-0.5	0.5	0.0	-0.0	-0.2	0.900564	0.440343	0.039294	0.984312	1.0	0.895714
Rv2932	ppsB	71	73.7	74.4	54.5	81.4	124.6	118.1	135.2	69.7	22.9	119.7	91.1	91.8	191.6	130.2	84.5	80.5	122.2	100.3	108.3	113.5	-0.4	-0.5	0.1	-0.1	-0.0	0.0	0.675953	0.529338	0.494	1.0	0.949475	0.793591
Rv2933	ppsC	84	86.5	75.6	59.4	84.2	152.3	147.3	173.8	68.7	28.7	149.8	101.6	128.3	232.4	95.7	103.3	87.2	154.8	116.2	124.8	99.9	-0.2	-0.5	0.4	-0.1	0.1	-0.3	0.790714	0.309205	0.048396	0.996117	0.833852	0.650634
Rv2934	ppsD	68	75.3	75.1	53.0	65.7	130.6	135.7	146.3	64.4	22.7	123.9	84.4	85.6	193.2	72.8	83.2	78.9	134.2	94.1	105.3	80.0	-0.3	-0.3	0.4	-0.1	0.1	-0.3	0.664317	0.453253	0.047354	0.984777	0.911302	0.549643
Rv2935	ppsE	68	99.5	79.1	54.7	84.7	157.3	173.4	181.8	74.2	33.7	159.5	104.6	133.5	249.6	131.4	108.6	95.0	171.0	121.4	131.0	124.7	-0.2	-0.4	0.4	-0.1	0.0	-0.0	0.762289	0.377703	0.103899	0.997053	0.974878	1.0
Rv2936	drrA	19	159.5	101.9	109.2	84.1	82.3	73.6	55.4	107.5	98.7	116.5	88.2	112.5	84.3	43.6	100.1	116.3	69.5	99.3	83.9	77.5	0.0	0.2	-0.5	-0.0	-0.2	-0.4	0.935385	0.535031	0.593554	0.947077	0.944618	0.762975
Rv2940c	mas	82	144.6	139.7	107.0	150.3	220.1	301.6	285.8	125.7	59.2	263.3	161.2	201.7	327.2	154.8	163.2	149.5	281.2	204.3	190.0	162.5	-0.3	-0.4	0.5	0.1	-0.1	-0.3	0.603529	0.342	0.007329	0.927289	0.992543	0.549643
Rv2942	mmpL7	43	71.2	74.7	39.8	47.8	33.0	31.7	47.3	41.5	25.5	48.3	40.7	46.9	36.9	22.0	36.9	59.1	39.7	47.9	36.7	36.6	-0.2	0.4	-0.1	0.1	-0.2	-0.3	0.762975	0.136102	0.959763	0.824464	0.762975	0.772471
Rv2967c	pca	63	0.7	0.7	4.4	2.4	1.9	1.3	2.7	0.6	1.8	4.5	3.3	3.2	1.9	1.6	2.6	0.9	2.1	3.3	2.4	1.7	0.0	-0.9	-0.2	0.3	-0.0	-0.4	0.900564	0.206924	0.984777	0.315692	0.955053	0.856457
Rv2985	mutT1	16	38.2	10.4	28.9	27.4	19.5	20.6	24.7	20.9	13.3	5.4	32.4	3.9	21.6	24.0	18.0	21.4	21.0	16.9	25.0	27.4	-0.4	-0.1	-0.1	-0.4	0.1	0.2	0.900564	1.0	0.984777	0.864893	0.906698	0.778748
Rv3005c	-	21	26.8	20.5	6.2	4.1	16.5	33.3	32.4	20.0	9.6	10.0	6.6	41.7	16.8	9.8	17.3	21.8	32.6	7.5	12.5	13.8	-0.2	0.2	0.7	-1.3	-0.6	-0.5	1.0	0.833852	0.08773	0.33345	0.711544	0.814874
Rv3036c	TB22.2	17	132.3	110.8	68.4	62.9	74.7	148.9	109.4	151.6	67.2	42.0	82.4	61.6	39.0	67.1	67.3	120.7	123.0	53.7	79.5	83.2	-0.6	0.2	0.3	-0.9	-0.4	-0.3	0.80069	0.535031	0.582955	0.524473	0.934075	0.974878
Rv3131	-	15	54.5	26.4	13.9	14.4	27.9	33.3	27.5	44.8	5.3	16.2	29.3	36.4	7.3	21.6	16.7	37.8	30.7	15.6	28.1	29.2	-0.8	0.3	0.0	-0.9	-0.1	-0.0	0.502238	0.440343	0.8775	0.436909	0.988505	0.959763
Rv3135	PPE50	9	323.4	440.0	504.9	562.4	797.9	105.0	74.7	470.2	370.0	507.5	579.6	375.4	805.3	654.8	494.0	444.2	137.4	537.7	665.3	555.7	-0.1	-0.3	-2.0	-0.0	0.3	0.0	0.974878	0.970366	0.071158	0.935385	0.440343	0.814874
Rv3136	PPE51	22	242.5	234.3	261.1	234.8	393.3	19.5	42.9	150.6	190.8	199.6	313.8	125.4	407.8	254.3	235.2	220.6	50.9	220.1	335.1	252.9	-0.1	-0.1	-2.2	-0.1	0.5	0.1	0.955053	1.0	0.0	1.0	0.0494	0.793591
Rv3139	fadE24	24	32.7	29.5	43.8	15.8	25.2	38.6	15.4	16.7	32.1	31.3	28.4	68.7	34.5	41.0	40.5	27.9	30.8	23.9	28.2	36.6	0.3	-0.3	-0.1	-0.5	-0.3	0.1	0.636476	0.951814	1.0	0.762289	0.947077	0.88276
Rv3193c	-	83	0.5	0.1	0.0	0.1	0.6	0.0	0.0	0.3	0.0	1.8	0.0	0.1	0.3	0.0	0.1	0.3	0.0	0.9	0.3	0.2	-0.2	0.0	-0.3	0.6	-0.0	-0.1	0.860738	1.0	0.729698	0.453253	1.0	0.979364
Rv3194c	-	16	73.2	77.1	72.3	36.8	48.9	22.7	26.6	38.2	55.4	27.0	49.0	37.1	53.8	42.8	53.9	60.9	26.9	33.0	48.5	49.5	0.1	0.2	-0.9	-0.6	-0.1	-0.1	0.772471	0.453253	0.440343	0.549643	0.974878	0.970366
Rv3211	rhlE	25	9.8	10.0	7.9	12.1	6.0	13.6	9.2	7.1	12.6	8.5	7.4	7.8	2.8	3.5	8.1	8.6	11.1	10.2	6.8	5.7	-0.2	-0.1	0.2	0.1	-0.4	-0.6	1.0	1.0	0.918806	0.959763	0.964386	0.88276
Rv3220c	-	22	12.2	11.0	30.1	40.1	70.3	9.3	6.9	6.0	12.9	25.9	71.8	6.2	29.1	134.5	19.0	14.1	10.5	33.7	70.0	90.7	-1.4	-1.8	-2.2	-0.6	0.4	0.8	0.582955	0.413463	0.387479	0.970366	0.355838	0.023677
Rv3229c	desA3	25	119.0	111.3	98.4	56.3	98.1	71.0	74.2	109.4	130.2	94.8	145.8	51.0	56.9	142.2	90.2	109.0	73.1	75.7	119.8	131.7	-0.3	-0.1	-0.6	-0.6	0.1	0.2	0.88276	0.895714	0.431217	0.524473	0.623392	0.348107
Rv3232c	ppk2	24	233.0	267.4	223.1	258.2	262.1	199.5	189.6	264.7	192.1	212.6	226.7	179.8	109.6	180.4	185.4	245.4	195.9	234.8	239.2	197.9	-0.4	0.1	-0.3	-0.0	0.0	-0.3	0.772471	0.745021	0.895714	0.892174	0.80069	0.860738
Rv3262	fbiB	13	1.1	0.1	0.0	0.4	0.5	0.0	0.3	0.4	0.2	0.1	0.5	1.9	0.0	1.2	0.4	0.5	0.3	0.3	0.5	1.0	-0.1	0.0	-0.2	-0.2	-0.0	0.4	0.974878	1.0	0.7344	0.838643	1.0	0.320217
Rv3267	-	23	1.5	2.7	2.1	0.6	1.2	0.7	3.1	9.6	0.5	1.6	3.8	0.5	0.0	2.6	1.5	4.1	1.7	1.1	2.4	2.5	-0.5	0.6	-0.3	-0.7	-0.0	0.0	0.955053	0.473538	0.974762	0.711544	0.996117	0.997053
Rv3270	ctpC	18	3.7	2.7	2.7	1.9	3.8	1.8	0.0	2.1	1.5	1.2	6.8	1.1	1.2	4.2	1.7	2.7	1.1	1.6	4.9	4.1	-0.7	-0.2	-1.0	-0.7	0.4	0.2	0.762975	1.0	0.479586	0.623392	0.206924	0.502238
Rv3277	-	13	2.1	0.4	1.7	0.3	0.2	0.0	0.5	10.8	2.4	0.4	0.6	0.9	3.5	3.1	2.7	4.0	0.3	0.4	0.6	2.5	0.0	0.5	-1.5	-1.3	-1.2	-0.0	0.895714	0.494	0.612935	0.650634	0.80069	0.911302
Rv3283	sseA	20	21.7	11.6	1.4	24.3	8.0	48.0	51.0	22.8	3.3	14.0	3.9	48.4	13.5	6.6	15.6	18.2	47.3	19.2	7.6	11.2	-0.2	-0.0	1.3	0.0	-1.2	-0.7	0.846186	0.974878	0.0	0.997053	0.2565	0.485588
Rv3331	sugI	25	142.7	161.1	264.7	156.4	163.5	189.4	181.0	122.4	205.3	188.0	190.5	116.2	440.7	266.5	246.1	159.7	180.3	174.0	181.8	229.1	0.3	-0.4	-0.2	-0.2	-0.2	0.2	0.664317	0.762289	0.970366	0.895714	0.974762	0.745021
Rv3419c	gcp	12	12.4	23.2	8.2	9.4	43.4	2.6	2.7	11.6	2.0	11.8	33.5	11.4	16.1	75.5	9.0	17.3	4.9	11.3	38.4	51.2	-1.5	-0.7	-2.3	-1.2	0.4	0.9	0.514716	0.964386	0.440343	0.755337	0.440343	0.181593
Rv3484	cpsA	28	33.1	25.4	13.9	19.3	26.3	33.2	12.6	35.6	21.5	20.7	24.9	34.2	17.6	14.8	21.8	29.8	24.3	20.1	25.1	20.1	-0.2	0.3	-0.0	-0.3	0.0	-0.3	1.0	0.914411	1.0	0.974878	0.99	0.974762
Rv3494c	mce4F	26	66.8	59.0	26.0	29.8	51.3	37.4	30.9	45.9	46.0	63.6	50.7	26.1	47.2	44.5	37.4	55.2	34.6	46.0	50.2	49.8	-0.4	0.1	-0.5	-0.1	0.0	-0.0	0.778748	0.762975	0.603529	1.0	0.892174	0.967674
Rv3499c	mce4A	31	67.1	78.0	34.0	35.1	47.8	33.0	38.1	50.6	39.5	77.3	40.7	21.4	31.6	30.6	34.0	61.8	35.1	54.8	43.8	41.1	-0.5	0.3	-0.5	0.1	-0.2	-0.3	0.582955	0.275087	0.514716	0.568338	0.979364	0.944618
Rv3535c	hsaG	12	109.2	116.2	111.3	135.6	106.3	111.8	152.0	70.4	96.7	280.5	105.0	53.7	207.5	89.8	115.5	104.6	123.8	201.6	105.8	105.0	-0.0	-0.2	0.0	0.7	-0.2	-0.2	0.974878	0.864893	1.0	0.149417	0.88276	0.88276
Rv3539	PPE63	31	84.5	91.4	76.8	82.3	81.1	108.8	98.6	86.1	68.8	69.2	86.5	69.9	50.2	81.0	69.1	84.9	100.5	75.9	83.6	82.0	-0.3	0.0	0.3	-0.1	-0.0	-0.0	0.701139	0.992543	0.612935	0.914411	1.0	1.0
Rv3542c	-	14	4.1	1.6	0.2	0.0	0.3	1.4	0.0	2.3	2.3	0.0	3.4	0.0	5.3	1.5	1.9	2.5	0.7	0.1	1.7	2.2	-0.1	0.2	-0.9	-1.5	-0.2	0.1	0.900564	0.535031	0.729698	0.34612	0.974762	0.790714
Rv3543c	fadE29	17	2.8	0.1	0.2	0.0	0.3	0.0	0.0	1.9	0.9	0.2	0.0	0.2	0.4	0.3	0.5	1.3	0.0	0.1	0.2	0.8	-0.1	0.5	-0.7	-0.6	-0.5	0.1	1.0	0.315692	0.502238	0.691953	0.906698	0.856457
Rv3551	-	16	2.4	0.2	3.9	0.0	1.6	0.2	1.2	0.1	4.2	0.3	0.5	0.0	19.2	0.0	6.1	1.7	0.7	0.3	1.1	1.0	1.6	0.2	-0.5	-0.9	-0.2	-0.3	0.0	0.996117	0.603529	0.47196	0.833852	0.772471
Rv3559c	-	8	1.5	13.2	0.4	0.2	0.0	2.1	5.6	0.1	0.8	11.0	0.9	0.0	0.0	0.0	0.5	4.8	3.4	5.3	0.7	0.9	-1.8	0.2	-0.2	0.3	-1.6	-1.4	0.745021	0.762975	0.974878	0.593554	0.864893	0.935385
Rv3560c	fadE30	13	37.8	16.2	14.5	27.9	5.9	36.6	3.0	5.8	65.2	29.7	13.8	6.9	130.8	17.3	50.0	24.2	19.7	29.1	11.8	23.3	0.9	-0.1	-0.4	0.1	-1.1	-0.2	0.236143	0.974878	0.920382	0.974878	0.549643	0.979364
Rv3564	fadE33	12	15.6	11.4	31.5	13.3	12.9	2.3	9.2	10.0	29.9	32.5	10.4	2.8	75.8	16.4	32.9	15.3	5.8	22.7	12.3	17.0	0.7	-0.4	-1.6	0.2	-0.6	-0.2	0.337752	0.979364	0.494	0.918806	0.906698	0.997053
Rv3575c	-	19	124.7	125.0	164.5	98.2	145.4	255.8	130.2	146.3	296.5	119.3	118.2	96.1	425.2	211.6	239.6	147.9	187.9	112.0	140.8	180.9	0.4	-0.3	0.0	-0.7	-0.4	-0.0	0.2565	0.906698	0.900564	0.524473	0.80069	0.955053
Rv3578	arsB2	16	167.8	174.1	141.5	112.5	160.7	159.6	85.2	161.4	187.5	157.9	113.3	168.8	150.4	200.0	160.5	167.4	129.9	135.6	143.0	177.4	-0.0	0.0	-0.3	-0.3	-0.2	0.1	0.974762	0.947077	0.856457	0.911302	0.974878	0.8775
Rv3586	-	15	175.6	145.5	119.9	129.5	151.8	125.6	162.3	105.6	129.9	150.3	94.1	137.9	58.7	102.7	113.6	137.1	142.0	138.6	123.8	119.8	-0.3	-0.0	0.0	0.0	-0.2	-0.2	0.906698	0.974762	0.964386	0.974878	0.997053	0.967674
Rv3682	ponA2	38	14.2	11.2	6.0	7.3	12.9	11.5	10.0	19.4	10.9	3.2	8.9	15.7	18.2	11.0	12.6	14.7	11.2	5.6	11.1	11.3	0.1	0.3	-0.1	-1.0	-0.1	-0.1	0.895714	0.568338	1.0	0.352118	1.0	0.997053
Rv3693	-	17	45.5	59.4	31.7	31.1	27.9	22.3	7.9	47.0	34.0	39.8	63.6	25.4	13.2	40.5	27.8	47.6	17.6	35.3	43.9	42.5	-0.6	0.1	-1.3	-0.3	0.0	-0.0	0.833852	0.711544	0.447231	1.0	0.918806	0.914411
Rv3696c	glpK	30	31.3	47.2	430.9	103.2	237.3	297.1	112.1	21.7	197.0	129.1	241.5	46.0	1070.1	1679.8	393.5	114.9	205.8	133.9	312.7	1044.1	0.2	-1.6	-0.8	-1.4	-0.2	1.6	0.99	0.136102	0.502238	0.22522	0.918806	0.0
Rv3717	-	13	13.7	1.8	4.2	1.6	17.6	44.5	21.0	1.6	14.8	7.8	8.8	10.1	27.0	6.7	13.2	6.9	30.7	4.9	13.3	9.2	-0.0	-0.9	1.2	-1.3	0.0	-0.5	1.0	0.711544	0.174054	0.502238	1.0	0.914411
Rv3779	-	48	55.8	52.7	57.3	26.8	59.0	66.7	44.1	31.6	55.4	37.4	68.6	15.0	35.4	62.5	42.7	46.1	53.2	32.5	62.3	59.6	-0.4	-0.3	-0.1	-0.8	0.1	0.1	0.772471	0.967674	0.964386	0.240469	0.514716	0.623392
Rv3818	-	32	24.9	13.6	7.9	5.7	14.6	8.1	4.1	16.1	13.1	4.8	8.8	2.0	3.4	17.5	7.8	16.4	6.3	5.5	12.0	17.0	-0.8	0.2	-1.1	-1.2	-0.2	0.2	0.7344	0.514716	0.603529	0.440343	0.964386	0.357634
Rv3820c	papA2	44	135.1	143.9	159.6	190.6	178.3	154.3	194.5	147.1	168.9	291.7	179.3	167.1	200.8	159.5	172.4	148.5	172.5	236.3	177.0	161.8	-0.0	-0.2	-0.0	0.4	0.0	-0.1	0.979364	0.793591	0.997053	0.342	1.0	0.920382
Rv3822	-	40	353.4	359.5	262.1	12.6	247.3	244.8	188.9	284.7	251.3	9.9	215.1	305.5	308.0	158.8	275.3	322.1	226.7	22.1	230.3	207.0	0.1	0.3	-0.2	-3.5	-0.1	-0.3	0.453253	0.088545	0.974762	0.004275	0.934075	0.974878
Rv3823c	mmpL8	79	21.3	32.1	20.7	16.1	24.2	23.4	17.5	26.4	26.9	19.4	17.8	17.4	23.3	6.7	22.6	26.1	20.5	17.8	20.6	12.3	0.1	0.3	-0.1	-0.3	-0.1	-0.8	0.920382	0.650634	1.0	0.949475	0.988505	0.449694
Rv3824c	papA1	47	125.8	127.2	177.0	202.9	176.0	253.7	177.3	163.7	212.0	250.9	162.5	204.4	218.0	191.7	199.1	147.8	214.6	224.1	172.6	176.1	-0.1	-0.5	0.1	0.1	-0.3	-0.2	0.974762	0.524473	0.793591	0.650634	0.920382	0.964386
Rv3825c	pks2	117	243.2	279.7	327.0	355.1	276.6	318.9	356.8	253.6	325.1	470.2	288.7	316.9	326.6	310.1	320.6	268.8	332.9	406.1	286.4	299.6	-0.0	-0.3	0.0	0.3	-0.2	-0.1	1.0	0.315692	0.911302	0.017589	0.603529	0.838643
Rv3842c	glpQ1	13	516.4	1114.4	1227.9	846.1	509.2	3671.4	3557.7	758.4	760.9	586.9	561.0	6024.5	1090.9	2628.1	1960.7	980.8	3662.1	777.2	774.8	1861.6	0.0	-1.0	0.9	-1.3	-1.3	-0.0	0.988505	0.911302	0.271588	0.860738	0.701139	0.997053
Rv3848	-	9	2.7	0.4	0.0	3.2	4.4	3.6	1.9	1.6	0.4	2.2	5.2	0.5	5.7	5.9	1.6	1.8	2.7	2.7	4.6	4.8	-0.9	-0.7	-0.3	-0.3	0.3	0.3	0.593554	0.80069	0.974878	0.984312	0.593554	0.514716
Rv3849	espR	10	71.6	64.0	44.6	19.0	43.5	28.0	37.8	27.1	28.4	45.9	44.4	17.3	78.0	30.6	40.9	53.2	32.0	32.6	43.0	42.4	-0.1	0.3	-0.4	-0.4	0.0	-0.0	1.0	0.906698	0.964386	0.970366	0.984777	0.997053
Rv3855	ethR	12	54.1	10.3	35.8	24.0	26.7	9.5	32.0	14.2	26.5	28.8	51.9	13.7	12.3	26.0	22.9	24.0	20.0	26.1	36.7	34.7	-0.4	-0.3	-0.6	-0.2	0.3	0.2	0.927289	0.947077	0.623392	0.996117	0.582955	0.745021
Rv3867	espH	7	93.7	107.4	45.4	1.9	68.2	9.7	49.2	33.1	81.6	16.1	46.1	33.4	11.8	4.3	45.5	72.7	30.5	10.3	54.3	30.1	-0.1	0.5	-0.7	-2.2	0.1	-0.7	0.951814	0.196278	0.824464	0.267985	0.691953	0.864893
Rv3868	eccA1	31	14.8	12.4	20.5	2.0	10.6	2.0	5.5	18.0	13.8	0.2	9.0	2.1	0.4	6.4	10.6	13.6	3.9	1.4	9.5	8.3	0.1	0.4	-1.2	-2.2	-0.1	-0.2	0.593554	0.114	0.377703	0.08208	0.793591	0.997053
Rv3877	eccD1	28	18.0	28.7	26.0	10.5	30.5	6.1	2.5	11.1	23.7	13.7	27.2	18.0	15.5	26.3	20.2	19.8	6.6	12.5	27.9	23.3	-0.1	-0.1	-1.6	-0.7	0.3	0.1	0.935385	0.947077	0.065597	0.494	0.169431	0.623392
Rv3883c	mycP1	17	30.9	27.9	19.6	21.0	46.1	27.0	29.6	27.6	37.3	18.9	34.4	3.2	23.5	46.3	23.2	28.6	27.0	20.3	39.6	39.6	-0.5	-0.2	-0.3	-0.7	0.2	0.2	0.778748	0.997053	0.974762	0.582955	0.514716	0.636476
